id_municipio,municipio_nome,unidade,nome_rm,nome_ugrhi
3515186,Espírito Santo do Pinhal,URAE 1 - Sudeste,_Fora de RMs/AUs,Mogi-Guaçu
3515194,Espírito Santo do Turvo,URAE 1 - Sudeste,_Fora de RMs/AUs,Médio Paranapanema
3557303,Estiva Gerbi,URAE 4 - Norte,_Fora de RMs/AUs,Mogi-Guaçu
3515301,Estrela do Norte,URAE 1 - Sudeste,_Fora de RMs/AUs,Pontal do Paranapanema
3515202,Estrela d'Oeste,URAE 1 - Sudeste,_Fora de RMs/AUs,Turvo / Grande
3515350,Euclides da Cunha Paulista,URAE 1 - Sudeste,_Fora de RMs/AUs,Pontal do Paranapanema
3515400,Fartura,URAE 1 - Sudeste,_Fora de RMs/AUs,Alto Paranapanema
3515608,Fernando Prestes,URAE 1 - Sudeste,_Fora de RMs/AUs,Turvo / Grande
3515509,Fernandópolis,URAE 1 - Sudeste,_Fora de RMs/AUs,Turvo / Grande
3515657,Fernão,URAE 1 - Sudeste,_Fora de RMs/AUs,Médio Paranapanema
3515707,Ferraz de Vasconcelos,URAE 1 - Sudeste,Região Metropolitana de São Paulo,Alto Tietê
3515806,Flora Rica,URAE 1 - Sudeste,_Fora de RMs/AUs,Peixe
3515905,Floreal,URAE 1 - Sudeste,_Fora de RMs/AUs,São José dos Dourados
3516002,Flórida Paulista,URAE 1 - Sudeste,_Fora de RMs/AUs,Peixe
3516101,Florínea,URAE 1 - Sudeste,_Fora de RMs/AUs,Médio Paranapanema
3516200,Franca,URAE 1 - Sudeste,Aglomeração Urbana de Franca,Sapucaí / Grande
3516309,Francisco Morato,URAE 1 - Sudeste,Região Metropolitana de São Paulo,Alto Tietê
3516408,Franco da Rocha,URAE 1 - Sudeste,Região Metropolitana de São Paulo,Alto Tietê
3516507,Gabriel Monteiro,URAE 1 - Sudeste,_Fora de RMs/AUs,Aguapeí
3516606,Gália,URAE 1 - Sudeste,_Fora de RMs/AUs,Médio Paranapanema
3516705,Garça,URAE 2 - Centro,_Fora de RMs/AUs,Aguapeí
3516804,Gastão Vidigal,URAE 1 - Sudeste,_Fora de RMs/AUs,Baixo Tietê
3516853,Gavião Peixoto,URAE 2 - Centro,_Fora de RMs/AUs,Tietê / Jacaré
3516903,General Salgado,URAE 1 - Sudeste,_Fora de RMs/AUs,São José dos Dourados
3517000,Getulina,URAE 2 - Centro,_Fora de RMs/AUs,Aguapeí
