id_municipio,nome_ugrhi
3540507,Tietê / Sorocaba
3540606,Tietê / Sorocaba
3540705,Mogi-Guaçu
3540754,Paraíba do Sul
3540804,Tietê / Batalha
3540853,Peixe
3540903,Mogi-Guaçu
3541000,Baixada Santista
3541059,Médio Paranapanema
3541109,Tietê / Batalha
3541208,Pontal do Paranapanema
3541307,Pontal do Paranapanema
3541406,Pontal do Paranapanema
3541505,Pontal do Paranapanema
3541604,Baixo Tietê
3541653,Tietê / Sorocaba
3541703,Médio Paranapanema
3541802,Aguapeí
3541901,Paraíba do Sul
3542008,Aguapeí
3542107,Piracicaba / Capivari / Jundiaí
3542206,Médio Paranapanema
3542305,Paraíba do Sul
3542404,Pontal do Paranapanema
3542503,Tietê / Batalha
3542602,Ribeira de Iguape / Litoral Sul
3542701,Sapucaí / Grande
3542800,Ribeira de Iguape / Litoral Sul
3542909,Tietê / Jacaré
3543006,Alto Paranapanema
3543105,Sapucaí / Grande
3543204,Médio Paranapanema
3543238,Peixe
3543253,Alto Paranapanema
3543303,Alto Tietê
3543402,Pardo
3543600,Sapucaí / Grande
3543709,Mogi-Guaçu
3543808,Aguapeí
3543907,Piracicaba / Capivari / Jundiaí
3544004,Piracicaba / Capivari / Jundiaí
3544103,Alto Tietê
3544202,Turvo / Grande
3543501,Alto Paranapanema
3544251,Pontal do Paranapanema
3544301,Paraíba do Sul
3544400,Baixo Tietê
3544509,São José dos Dourados
3544608,Tietê / Batalha
3544707,Peixe
3544806,Tietê / Batalha
3544905,Pardo
3545001,Alto Tietê
3545100,Aguapeí
3545159,Piracicaba / Capivari / Jundiaí
3545209,Piracicaba / Capivari / Jundiaí
3545308,Tietê / Sorocaba
3545407,Médio Paranapanema
3545506,Pontal do Paranapanema
3545605,Turvo / Grande
3545704,Turvo / Grande
3545803,Piracicaba / Capivari / Jundiaí
3546009,Paraíba do Sul
3546108,Turvo / Grande
3546207,Mogi-Guaçu
3546256,Pardo
3546306,Mogi-Guaçu
3546405,Médio Paranapanema
3546504,Tietê / Batalha
3546603,São José dos Dourados
3546702,Piracicaba / Capivari / Jundiaí
3546801,Paraíba do Sul
3546900,Mogi-Guaçu
3547007,Piracicaba / Capivari / Jundiaí
3547106,Aguapeí
3547502,Mogi-Guaçu
3547403,Turvo / Grande
3547601,Pardo
3547650,São José dos Dourados
3547205,São José dos Dourados
3547304,Alto Tietê
3547700,Pontal do Paranapanema
3547809,Alto Tietê
3547908,Sapucaí / Grande
3548005,Piracicaba / Capivari / Jundiaí
3548054,Baixo Tietê
3548104,Mogi-Guaçu
3548203,Mantiqueira
3548302,Peixe
3548401,Aguapeí
3548500,Baixada Santista
3548609,Mantiqueira
3548708,Alto Tietê
3548807,Alto Tietê
3548906,Tietê / Jacaré
3549003,São José dos Dourados
3549102,Mogi-Guaçu
3549201,São José dos Dourados
3549250,São José dos Dourados
3549300,Aguapeí
3549409,Sapucaí / Grande
3549508,Sapucaí / Grande
3549607,Paraíba do Sul
3549706,Pardo
3549805,Turvo / Grande
3549904,Paraíba do Sul
3549953,Ribeira de Iguape / Litoral Sul
3550001,Paraíba do Sul
3550100,Tietê / Jacaré
3550209,Alto Paranapanema
3550308,Alto Tietê
3550407,Piracicaba / Capivari / Jundiaí
3550506,Médio Paranapanema
3550605,Tietê / Sorocaba
3550704,Litoral Norte
3550803,Pardo
3550902,Pardo
3551009,Baixada Santista
3551108,Tietê / Sorocaba
3551207,Alto Paranapanema
3551306,São José dos Dourados
3551405,Pardo
3551603,Mogi-Guaçu
3551504,Pardo
3551702,Mogi-Guaçu
3551801,Ribeira de Iguape / Litoral Sul
3551900,Turvo / Grande
3552007,Paraíba do Sul
3552106,Mogi-Guaçu
3552205,Tietê / Sorocaba
3552304,Baixo Tietê
3552403,Piracicaba / Capivari / Jundiaí
3552551,São José dos Dourados
3552502,Alto Tietê
3552601,Turvo / Grande
3552700,Tietê / Jacaré
3552809,Alto Tietê
3552908,Pontal do Paranapanema
3553005,Alto Paranapanema
3553104,Turvo / Grande
3553203,Turvo / Grande
3553302,Pardo
3553401,Turvo / Grande
3553500,Ribeira de Iguape / Litoral Sul
3553609,Pardo
3553658,Mogi-Guaçu
3553708,Tietê / Batalha
3553807,Alto Paranapanema
3553856,Alto Paranapanema
3553906,Pontal do Paranapanema
3553955,Médio Paranapanema
3554003,Tietê / Sorocaba
3554102,Paraíba do Sul
3554201,Alto Paranapanema
3554300,Pontal do Paranapanema
3554409,Baixo Pardo / Grande
3554508,Tietê / Sorocaba
3554607,Alto Paranapanema
3554656,Tietê / Sorocaba
3554706,Tietê / Jacaré
3554755,Tietê / Jacaré
3554805,Paraíba do Sul
3554904,São José dos Dourados
3554953,Piracicaba / Capivari / Jundiaí
3555000,Aguapeí
3555109,Aguapeí
3555208,Baixo Tietê
3555307,Turvo / Grande
3555356,Baixo Tietê
3555406,Litoral Norte
3555505,Médio Paranapanema
3555604,Turvo / Grande
3555703,Baixo Tietê
3555802,Turvo / Grande
3555901,Tietê / Batalha
3556008,Tietê / Batalha
3556107,Turvo / Grande
3556206,Piracicaba / Capivari / Jundiaí
3556305,Baixo Tietê
3556354,Piracicaba / Capivari / Jundiaí
3556404,Pardo
3556453,Tietê / Sorocaba
3556503,Piracicaba / Capivari / Jundiaí
3556602,Aguapeí
3556701,Piracicaba / Capivari / Jundiaí
3556800,Baixo Pardo / Grande
3556909,Turvo / Grande
3556958,Turvo / Grande
3557006,Tietê / Sorocaba
3557105,Turvo / Grande
3557154,Baixo Tietê
